EventID,Timestamp,Protocal,Source IP,Destination IP,Source Port,Destination Port
0,2024-11-24 17:05:48,tcp,192.168.43.41,192.168.1.100,43531,80
1,2024-11-24 17:06:08,tcp,192.168.43.41,192.168.1.100,64102,80
2,2024-11-24 17:06:46,tcp,192.168.43.41,192.168.1.100,53190,80
3,2024-11-24 17:07:15,tcp,192.168.43.41,192.168.1.100,57103,80
4,2024-11-24 17:08:24,tcp,192.168.43.41,20.42.65.93,51312,443
5,2024-11-24 17:08:53,tcp,192.168.43.41,192.168.1.100,31079,80
6,2024-11-24 17:08:55,tcp,192.168.43.41,192.168.1.100,24611,80
7,2024-11-24 17:08:56,tcp,192.168.43.41,192.168.1.100,42563,80
8,2024-11-24 17:09:02,tcp,192.168.43.41,192.168.1.100,64970,80
9,2024-11-24 17:09:07,tcp,192.168.43.41,192.168.1.100,19758,80
10,2024-11-24 17:10:02,tcp,192.168.43.41,192.168.1.100,15863,80
11,2024-11-24 17:10:28,tcp,192.168.43.41,192.168.1.100,51345,80
12,2024-11-24 17:11:33,tcp,192.168.43.41,192.168.1.100,65394,80
13,2024-11-24 17:12:04,tcp,192.168.43.41,192.168.1.100,25349,80
14,2024-11-24 17:12:59,tcp,192.168.43.41,192.168.1.100,4463,80
15,2024-11-24 17:16:13,tcp,192.168.43.41,192.168.1.100,20,80
16,2024-11-24 17:16:29,tcp,192.168.43.41,192.168.1.100,20,80
17,2024-11-24 17:16:59,tcp,192.168.43.41,192.168.1.100,20,80
18,2024-11-24 17:18:43,tcp,192.168.43.41,192.168.1.100,20,80
19,2024-11-24 17:18:55,tcp,192.168.43.41,192.168.1.100,20,80
20,2024-11-24 17:19:53,tcp,192.168.43.41,192.168.1.100,20,80
21,2024-11-24 17:20:34,tcp,192.168.43.41,192.168.1.100,20,80
22,2024-11-24 17:20:45,tcp,192.168.43.41,192.168.1.100,20,80
23,2024-11-24 17:20:55,tcp,192.168.43.41,192.168.1.100,20,80
24,2024-11-24 17:21:12,tcp,192.168.43.41,192.168.1.100,20,80
25,2024-11-24 17:21:21,tcp,192.168.43.41,192.168.1.100,20,80
26,2024-11-24 17:27:40,tcp,192.168.43.41,192.168.1.100,20,80
27,2024-11-24 17:28:05,tcp,192.168.43.41,192.168.1.100,20,80
28,2024-11-24 17:29:37,tcp,192.168.43.41,192.168.1.100,20,80
29,2024-11-24 17:29:57,tcp,192.168.43.41,192.168.1.100,20,80
30,2024-11-24 17:29:59,tcp,192.168.43.41,192.168.1.100,20,80
31,2024-11-24 17:30:17,tcp,192.168.43.41,192.168.1.100,20,80
32,2024-11-24 17:30:49,tcp,192.168.43.41,192.168.1.100,20,80
33,2024-11-24 17:31:07,tcp,192.168.43.41,192.168.1.100,20,80
34,2024-11-24 17:32:26,tcp,192.168.43.41,192.168.1.100,20,80
35,2024-11-24 17:33:44,tcp,192.168.43.41,192.168.1.100,20,80
36,2024-11-24 17:34:50,tcp,192.168.43.41,192.168.1.100,20,80
37,2024-11-24 17:35:04,tcp,192.168.43.41,192.168.1.100,20,80
38,2024-11-24 17:38:22,tcp,192.168.43.41,192.168.1.100,20,80
39,2024-11-24 17:46:02,tcp,192.168.43.41,192.168.1.100,20,80
40,2024-11-24 17:46:19,tcp,192.168.43.41,192.168.1.100,20,80
41,2024-11-24 17:46:33,tcp,192.168.43.41,192.168.1.100,20,80
42,2024-11-24 17:46:59,tcp,192.168.43.41,192.168.1.100,20,80
43,2024-11-24 17:47:12,tcp,192.168.43.41,192.168.1.100,20,80
44,2024-11-24 17:47:45,icmp,192.168.43.41,8.8.8.8,,
45,2024-11-24 17:48:33,icmp,8.8.8.8,192.168.43.41,,
46,2024-11-24 17:49:17,icmp,192.168.43.41,8.8.8.8,,
47,2024-11-24 17:49:53,icmp,192.168.43.41,8.8.8.8,,
48,2024-11-24 18:00:22,icmp,192.168.43.41,8.8.8.8,,
49,2024-11-24 19:06:08,tcp,192.168.43.41,34.120.208.123,48754,443
50,2024-11-24 19:06:45,tcp,192.168.43.41,192.168.1.1,20,80
51,2024-11-24 19:06:53,tcp,192.168.43.41,192.168.1.1,20,80
52,2024-11-24 19:07:14,tcp,192.168.43.41,192.168.1.1,20,80
53,2024-11-24 19:08:02,tcp,192.168.43.41,192.168.1.100,20,80
54,2024-11-24 19:08:27,tcp,192.168.43.41,192.168.1.100,20,80
55,2024-11-24 19:08:55,tcp,192.168.43.41,192.168.1.100,20,80
56,2024-11-24 19:09:04,tcp,192.168.43.41,192.168.1.100,20,80
57,2024-11-24 19:10:30,icmp,192.168.43.41,192.168.1.1,,
58,2024-11-24 19:11:50,tcp,192.168.43.41,192.168.1.1,62587,80
59,2024-11-24 19:12:15,tcp,192.168.43.41,192.168.1.1,49956,80
60,2024-11-24 19:12:41,tcp,192.168.43.41,192.168.1.1,49952,80
61,2024-11-24 19:14:19,tcp,192.168.43.41,192.168.1.1,31828,443
62,2024-11-24 19:15:00,tcp,192.168.43.41,192.168.1.1,43313,443
63,2024-11-24 19:15:50,tcp,192.168.43.41,192.168.1.1,41198,443
64,2024-11-24 19:35:38,tcp,192.168.43.41,34.107.243.93,46488,443
65,2024-11-24 19:36:50,tcp,192.168.43.41,34.120.208.123,54014,443
66,2024-11-24 19:37:03,tcp,192.168.43.41,51.132.193.104,54692,443
67,2024-11-24 19:37:04,tcp,192.168.43.41,51.132.193.104,54692,443
68,2024-11-24 19:37:06,tcp,192.168.43.41,51.132.193.104,54692,443
69,2024-11-24 19:37:11,tcp,192.168.43.41,51.132.193.104,54692,443
70,2024-11-24 19:37:15,udp,192.168.43.41,192.168.43.176,60018,53
71,2024-11-24 19:37:15,udp,192.168.43.41,192.168.43.176,42267,53
72,2024-11-24 19:37:15,udp,192.168.43.41,192.168.43.176,34709,53
73,2024-11-24 19:37:15,udp,192.168.43.176,192.168.43.41,53,60018
74,2024-11-24 19:38:27,icmp,192.168.43.41,8.8.8.8,,
75,2024-11-24 19:38:38,icmp,192.168.43.41,8.8.8.8,,
76,2024-11-24 19:41:01,tcp,192.168.43.41,34.149.100.209,50978,443
77,2024-11-24 19:41:01,tcp,192.168.43.41,34.149.100.209,50988,443
78,2024-11-24 19:41:01,tcp,192.168.43.41,34.149.100.209,51004,443
79,2024-11-24 19:41:01,icmp,192.168.43.41,8.8.8.8,,
80,2024-11-24 19:41:01,icmp,8.8.8.8,192.168.43.41,,
81,2024-11-24 19:41:01,tcp,192.168.43.41,34.149.100.209,51014,443
82,2024-11-24 19:41:01,tcp,192.168.43.41,34.149.100.209,51024,443
83,2024-11-24 19:41:01,tcp,192.168.43.41,34.149.100.209,51040,443
84,2024-11-24 19:41:02,icmp,192.168.43.41,8.8.8.8,,
85,2024-11-24 19:41:02,icmp,8.8.8.8,192.168.43.41,,
86,2024-11-24 19:41:03,icmp,192.168.43.41,8.8.8.8,,
87,2024-11-24 19:41:03,icmp,8.8.8.8,192.168.43.41,,
88,2024-11-24 19:41:04,icmp,192.168.43.41,8.8.8.8,,
89,2024-11-24 19:41:04,icmp,8.8.8.8,192.168.43.41,,
90,2024-11-24 19:41:05,icmp,192.168.43.41,8.8.8.8,,
91,2024-11-24 19:41:05,icmp,8.8.8.8,192.168.43.41,,
92,2024-11-24 19:41:06,tcp,192.168.43.41,34.107.243.93,45616,443
93,2024-11-24 19:41:06,icmp,192.168.43.41,8.8.8.8,,
94,2024-11-24 19:41:06,icmp,8.8.8.8,192.168.43.41,,
95,2024-11-24 19:41:06,tcp,192.168.43.41,34.107.243.93,45618,443
96,2024-11-24 19:41:07,icmp,192.168.43.41,8.8.8.8,,
97,2024-11-24 19:41:07,icmp,8.8.8.8,192.168.43.41,,
98,2024-11-24 19:41:08,icmp,192.168.43.41,8.8.8.8,,
99,2024-11-24 19:41:08,icmp,8.8.8.8,192.168.43.41,,
100,2024-11-24 19:41:08,tcp,192.168.43.41,20.42.73.28,39726,443
101,2024-11-24 19:41:09,tcp,192.168.43.41,117.18.232.200,49804,443
102,2024-11-24 19:41:09,icmp,192.168.43.41,8.8.8.8,,
103,2024-11-24 19:41:09,icmp,8.8.8.8,192.168.43.41,,
104,2024-11-24 19:41:09,tcp,192.168.43.41,117.18.232.200,49812,443
105,2024-11-24 19:41:10,icmp,192.168.43.41,8.8.8.8,,
106,2024-11-24 19:41:10,icmp,8.8.8.8,192.168.43.41,,
107,2024-11-24 19:49:22,icmp,192.168.43.41,8.8.8.8,,
108,2024-11-24 19:49:22,icmp,8.8.8.8,192.168.43.41,,
109,2024-11-24 19:49:23,icmp,192.168.43.41,8.8.8.8,,
110,2024-11-24 19:49:23,icmp,8.8.8.8,192.168.43.41,,
111,2024-11-24 19:49:24,icmp,192.168.43.41,8.8.8.8,,
112,2024-11-24 19:49:24,icmp,8.8.8.8,192.168.43.41,,
113,2024-11-24 19:49:25,icmp,192.168.43.41,8.8.8.8,,
114,2024-11-24 19:49:25,icmp,8.8.8.8,192.168.43.41,,
115,2024-11-24 19:49:26,icmp,192.168.43.41,8.8.8.8,,
116,2024-11-24 19:49:26,icmp,8.8.8.8,192.168.43.41,,
117,2024-11-24 19:49:27,icmp,192.168.43.41,8.8.8.8,,
118,2024-11-24 19:49:27,icmp,8.8.8.8,192.168.43.41,,
119,2024-11-24 19:49:28,icmp,192.168.43.41,8.8.8.8,,
120,2024-11-24 19:49:28,icmp,8.8.8.8,192.168.43.41,,
121,2024-11-24 19:49:29,icmp,192.168.43.41,8.8.8.8,,
122,2024-11-24 19:49:29,icmp,8.8.8.8,192.168.43.41,,
123,2024-11-24 19:49:30,icmp,192.168.43.41,8.8.8.8,,
124,2024-11-24 19:49:30,icmp,8.8.8.8,192.168.43.41,,
125,2024-11-24 19:49:31,icmp,192.168.43.41,8.8.8.8,,
126,2024-11-24 19:49:31,icmp,8.8.8.8,192.168.43.41,,
127,2024-11-24 19:49:32,icmp,192.168.43.41,8.8.8.8,,
128,2024-11-24 19:49:32,icmp,8.8.8.8,192.168.43.41,,
129,2024-11-24 19:49:33,icmp,192.168.43.41,8.8.8.8,,
130,2024-11-24 19:49:33,icmp,8.8.8.8,192.168.43.41,,
131,2024-11-24 19:49:34,icmp,192.168.43.41,8.8.8.8,,
132,2024-11-24 19:49:34,icmp,8.8.8.8,192.168.43.41,,
133,2024-11-24 19:50:38,icmp,192.168.43.41,8.8.8.8,,
134,2024-11-24 19:50:39,icmp,8.8.8.8,192.168.43.41,,
135,2024-11-24 19:50:39,tcp,192.168.43.41,20.189.173.7,33080,443
136,2024-11-24 19:50:39,tcp,192.168.43.41,20.189.173.7,33096,443
137,2024-11-24 19:50:39,icmp,192.168.43.41,8.8.8.8,,
138,2024-11-24 19:50:40,icmp,8.8.8.8,192.168.43.41,,
139,2024-11-24 19:50:40,icmp,192.168.43.41,8.8.8.8,,
140,2024-11-24 19:50:41,icmp,8.8.8.8,192.168.43.41,,
141,2024-11-24 19:50:41,tcp,192.168.43.41,34.120.208.123,42264,443
142,2024-11-24 19:50:41,tcp,192.168.43.41,34.120.208.123,42278,443
143,2024-11-24 19:50:41,tcp,192.168.43.41,34.120.208.123,42294,443
144,2024-11-24 19:50:41,tcp,192.168.43.41,34.120.208.123,42306,443
145,2024-11-24 19:50:41,tcp,192.168.43.41,34.120.208.123,42318,443
146,2024-11-24 19:50:41,tcp,192.168.43.41,34.120.208.123,42332,443
147,2024-11-24 19:50:41,icmp,192.168.43.41,8.8.8.8,,
148,2024-11-24 19:50:41,icmp,8.8.8.8,192.168.43.41,,
149,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42342,443
150,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42354,443
151,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42368,443
152,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42376,443
153,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42390,443
154,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42396,443
155,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42332,443
156,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42318,443
157,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42306,443
158,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42294,443
159,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42278,443
160,2024-11-24 19:50:42,tcp,192.168.43.41,34.120.208.123,42264,443
161,2024-11-24 19:50:42,icmp,192.168.43.41,8.8.8.8,,
162,2024-11-24 19:50:43,icmp,8.8.8.8,192.168.43.41,,
163,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42376,443
164,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42368,443
165,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42354,443
166,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42342,443
167,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42396,443
168,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42390,443
169,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42264,443
170,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42278,443
171,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42294,443
172,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42306,443
173,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42318,443
174,2024-11-24 19:50:43,tcp,192.168.43.41,34.120.208.123,42332,443
175,2024-11-24 19:50:43,icmp,192.168.43.41,8.8.8.8,,
176,2024-11-24 19:50:44,icmp,8.8.8.8,192.168.43.41,,
177,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42342,443
178,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42390,443
179,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42354,443
180,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42396,443
181,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42368,443
182,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42376,443
183,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42332,443
184,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42318,443
185,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42306,443
186,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42294,443
187,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42278,443
188,2024-11-24 19:50:44,tcp,192.168.43.41,34.120.208.123,42264,443
189,2024-11-24 19:50:44,icmp,192.168.43.41,8.8.8.8,,
190,2024-11-24 19:50:45,icmp,8.8.8.8,192.168.43.41,,
191,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42376,443
192,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42396,443
193,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42368,443
194,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42390,443
195,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42354,443
196,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42342,443
197,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42264,443
198,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42278,443
199,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42294,443
200,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42306,443
201,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42318,443
202,2024-11-24 19:50:45,tcp,192.168.43.41,34.120.208.123,42332,443
203,2024-11-24 19:50:45,icmp,192.168.43.41,8.8.8.8,,
204,2024-11-24 19:50:46,icmp,8.8.8.8,192.168.43.41,,
205,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42390,443
206,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42342,443
207,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42396,443
208,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42354,443
209,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42368,443
210,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42376,443
211,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42332,443
212,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42318,443
213,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42306,443
214,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42294,443
215,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42278,443
216,2024-11-24 19:50:46,tcp,192.168.43.41,34.120.208.123,42264,443
217,2024-11-24 19:50:46,icmp,192.168.43.41,8.8.8.8,,
218,2024-11-24 19:50:47,icmp,8.8.8.8,192.168.43.41,,
219,2024-11-24 19:50:47,tcp,192.168.43.41,34.120.208.123,42396,443
220,2024-11-24 19:50:47,tcp,192.168.43.41,34.120.208.123,42376,443
221,2024-11-24 19:50:47,tcp,192.168.43.41,34.120.208.123,42390,443
